Lat,Lng,Dist to 1st Station (mi),Dist to 2nd Station (mi)
32.68524617511215,-96.87437621751856,0.99,2.34
32.68524617511215,-96.89222918114488,2.01,2.03
32.68524617511215,-96.9100821447712,1.61,2.53
32.68524617511215,-96.92793510839752,1.81,2.97
32.68524617511215,-96.94578807202386,2.47,2.99
32.68524617511215,-96.96364103565018,2.78,3.02
32.68524617511215,-96.98149399927652,1.86,2.42
32.67170433951879,-96.58872879949736,0.98,1.34
32.67170433951879,-96.60658176312369,0.27,0.53
32.67170433951879,-96.62443472675,0.97,1.16
32.67170433951879,-96.64228769037634,1.93,2.18
32.67170433951879,-96.66014065400266,2.69,2.95
32.67170433951879,-96.677993617629,2.48,2.95
32.67170433951879,-96.73155250850796,1.69,3.37
32.67170433951879,-96.74940547213428,0.66,2.38
32.67170433951879,-96.7672584357606,0.41,1.46
32.67170433951879,-96.78511139938692,0.86,1.44
32.67170433951879,-96.80296436301326,1.09,1.23
32.67170433951879,-96.82081732663958,0.64,2.11
32.67170433951879,-96.83867029026592,1.34,1.42
32.67170433951879,-96.85652325389223,0.91,1.19
32.67170433951879,-96.87437621751856,1.34,1.54
32.67170433951879,-96.92793510839752,1.07,2.16
32.67170433951879,-96.94578807202386,2.0,2.07
32.67170433951879,-96.96364103565018,2.12,2.69
32.67170433951879,-96.98149399927652,1.77,2.51
32.65816250392543,-96.62443472675,1.64,1.65
32.65816250392543,-96.64228769037634,2.35,2.47
32.65816250392543,-96.66014065400266,2.27,3.24
32.65816250392543,-96.73155250850796,1.87,2.81
32.65816250392543,-96.74940547213428,1.04,2.85
32.65816250392543,-96.7672584357606,0.9,2.15
32.65816250392543,-96.78511139938692,1.64,1.79
32.65816250392543,-96.80296436301326,0.95,2.0
32.65816250392543,-96.82081732663958,0.34,2.16
32.65816250392543,-96.83867029026592,1.14,1.22
32.65816250392543,-96.85652325389223,0.26,1.84
32.65816250392543,-96.87437621751856,1.0,2.01
32.65816250392543,-96.94578807202386,1.17,1.91
32.65816250392543,-96.96364103565018,1.25,2.51
32.65816250392543,-96.98149399927652,1.47,1.98
32.644620668332074,-96.64228769037634,2.83,3.01
32.644620668332074,-96.66014065400266,1.82,3.75
32.644620668332074,-96.74940547213428,1.86,2.55
32.644620668332074,-96.7672584357606,1.79,2.49
32.644620668332074,-96.78511139938692,1.75,2.26
32.644620668332074,-96.82081732663958,1.25,1.58
32.644620668332074,-96.83867029026592,1.3,1.72
32.644620668332074,-96.85652325389223,0.69,1.82
32.644620668332074,-96.87437621751856,1.19,1.85
32.644620668332074,-96.94578807202386,0.45,1.78
32.644620668332074,-96.96364103565018,0.63,1.86
32.644620668332074,-96.98149399927652,1.66,1.72
32.63107883273872,-96.73155250850796,2.29,2.32
32.63107883273872,-96.74940547213428,1.67,1.7
32.63107883273872,-96.7672584357606,1.57,1.61
32.63107883273872,-96.94578807202386,0.89,0.89
32.63107883273872,-96.96364103565018,0.99,1.05
